Kinderarmut
Kommunen mit mindestens 100.000 Einwohnern

Kommune;GKZ;ARS;Verwaltungstyp;Bundesland;Landkreis;Demografietyp;Bevölkerung 2020;"2020
Kinderarmut (%)"
Aachen;05334002;053340002002;Gemeinde;Nordrhein-Westfalen;Städteregion Aachen;Typ 7;248.878;21,4
Ahrweiler, LK;07131000;071310000000;Landkreis;Rheinland-Pfalz;;;130.479;8,4
Aichach-Friedberg, LK;09771000;097710000000;Landkreis;Bayern;;;135.024;3,3
Alb-Donau-Kreis, LK;08425000;084250000000;Landkreis;Baden-Württemberg;;;198.204;4,7
Altenkirchen (Westerwald), LK;07132000;071320000000;Landkreis;Rheinland-Pfalz;;;129.087;7,9
Altötting, LK;09171000;091710000000;Landkreis;Bayern;;;111.654;5,8
Alzey-Worms, LK;07331000;073310000000;Landkreis;Rheinland-Pfalz;;;130.715;8,9
Amberg-Sulzbach, LK;09371000;093710000000;Landkreis;Bayern;;;102.998;3,7
Ammerland, LK;03451000;034510000000;Landkreis;Niedersachsen;;;125.643;9,6
Anhalt-Bitterfeld, LK;15082000;150820000000;Landkreis;Sachsen-Anhalt;;;157.217;13,9
Ansbach, LK;09571000;095710000000;Landkreis;Bayern;;;185.316;2,0
Aschaffenburg, LK;09671000;096710000000;Landkreis;Bayern;;;174.658;6,9
Augsburg;09761000;097610000000;kreisfreie Stadt;Bayern;;Typ 7;295.830;11,4
Augsburg, LK;09772000;097720000000;Landkreis;Bayern;;;255.900;4,9
Aurich, LK;03452000;034520000000;Landkreis;Niedersachsen;;;190.178;13,9
Bad Dürkheim, LK;07332000;073320000000;Landkreis;Rheinland-Pfalz;;;133.004;7,7
Baden-Württemberg;08000000;080000000000;Bundesland;Baden-Württemberg;;;11.103.043;7,8
Bad Kissingen, LK;09672000;096720000000;Landkreis;Bayern;;;103.169;4,9
Bad Kreuznach, LK;07133000;071330000000;Landkreis;Rheinland-Pfalz;;;158.746;12,1
Bad Tölz-Wolfratshausen, LK;09173000;091730000000;Landkreis;Bayern;;;128.212;4,3
Bamberg, LK;09471000;094710000000;Landkreis;Bayern;;;147.497;2,7
Barnim, LK;12060000;120600000000;Landkreis;Brandenburg;;;187.343;9,2
Bautzen, LK;14625000;146250000000;Landkreis;Sachsen;;;298.010;6,9
Bayern;09000000;090000000000;Bundesland;Bayern;;;13.140.183;6,1
Bayreuth, LK;09472000;094720000000;Landkreis;Bayern;;;103.679;3,3
Berchtesgadener Land, LK;09172000;091720000000;Landkreis;Bayern;;;106.327;6,2
Bergisch Gladbach;05378004;053780004004;Gemeinde;Nordrhein-Westfalen;Rheinisch-Bergischer Kreis, LK;Typ 5;111.636;15,9
Bergstraße, LK;06431000;064310000000;Landkreis;Hessen;;;271.015;10,8
Berlin;11000000;110000000000;kreisfreie Stadt;Berlin;;Typ 7;3.664.088;26,1
Bernkastel-Wittlich, LK;07231000;072310000000;Landkreis;Rheinland-Pfalz;;;112.685;6,4
Biberach, LK;08426000;084260000000;Landkreis;Baden-Württemberg;;;202.250;3,8
Bielefeld;05711000;057110000000;kreisfreie Stadt;Nordrhein-Westfalen;;Typ 7;333.509;21,0
